chapter_no,title,subject,exam,exam_group,year,questions,max_question_seen,start_pdf_page,end_pdf_page,toc_pdf_page,printed_page
123,Ophthalmology AIIMS 2019 (May & Nov),Ophthalmology,AIIMS,AIIMS/INI-CET,2019,11,11,2962,2980,2897,2968
124,Ophthalmology AIIMS 2020 (May & Nov INI-CET),Ophthalmology,AIIMS,AIIMS/INI-CET,2020,8,8,2981,2990,2897,2987
125,Ophthalmology NEET 2018,Ophthalmology,NEET PG,NEET PG,2018,12,12,2991,3008,2897,2997
126,Ophthalmology NEET 2019,Ophthalmology,NEET PG,NEET PG,2019,11,11,3009,3023,2897,3015
127,Ophthalmology NEET 2020,Ophthalmology,NEET PG,NEET PG,2020,11,11,3024,3032,2897,3030
128,Ophthalmology INI-CET 2021,Ophthalmology,INI-CET,AIIMS/INI-CET,2021,13,13,3033,3048,2897,3039
129,Ophthalmology NEET 2021,Ophthalmology,NEET PG,NEET PG,2021,8,8,3049,3065,2897,3055
130,Ophthalmology INICET 2022,Ophthalmology,INI-CET,AIIMS/INI-CET,2022,21,21,3066,3089,2897,3072
131,Ophthalmology NEET 2022,Ophthalmology,NEET PG,NEET PG,2022,6,6,3090,3104,2897,3096
132,Ophthalmology NEET 2023,Ophthalmology,NEET PG,NEET PG,2023,8,8,3105,3115,2897,3111
133,Ophthalmology INI-CET 2023,Ophthalmology,INI-CET,AIIMS/INI-CET,2023,11,11,3116,3135,2897,3122
134,Ophthalmology INI-CET 2024,Ophthalmology,INI-CET,AIIMS/INI-CET,2024,22,22,3136,3157,2897,3142
135,Ophthalmology NEET 2024,Ophthalmology,NEET PG,NEET PG,2024,14,14,3158,3182,2897,3164
136,ENT AIIMS 2017,ENT,AIIMS,AIIMS/INI-CET,2017,9,9,3183,3196,3182,3188
137,ENT AIIMS 2018,ENT,AIIMS,AIIMS/INI-CET,2018,8,8,3197,3206,3182,3202
138,ENT AIIMS 2019 (May & Nov),ENT,AIIMS,AIIMS/INI-CET,2019,5,5,3207,3212,3182,3212
139,ENT AIIMS 2020 (May & Nov INI-CET),ENT,AIIMS,AIIMS/INI-CET,2020,12,12,3213,3234,3182,3218
140,ENT NEET 2018,ENT,NEET PG,NEET PG,2018,6,6,3235,3241,3182,3240
141,ENT NEET 2019,ENT,NEET PG,NEET PG,2019,6,6,3242,3250,3182,3247
142,ENT NEET 2020,ENT,NEET PG,NEET PG,2020,8,8,3251,3260,3182,3256
143,ENT INICET 2021,ENT,INI-CET,AIIMS/INI-CET,2021,10,10,3261,3280,3182,3266
144,ENT NEET 2021,ENT,NEET PG,NEET PG,2021,6,6,3281,3291,3182,3286
145,ENT INICET 2022,ENT,INI-CET,AIIMS/INI-CET,2022,14,14,3292,3312,3182,3297
146,ENT NEET 2022,ENT,NEET PG,NEET PG,2022,9,9,3313,3328,3182,3318
147,ENT NEET 2023,ENT,NEET PG,NEET PG,2023,6,6,3329,3338,3182,3334
148,ENT INICET 2023,ENT,INI-CET,AIIMS/INI-CET,2023,14,14,3339,3359,3182,3344
149,ENT INI-CET 2024,ENT,INI-CET,AIIMS/INI-CET,2024,13,13,3360,3378,3182,3365
150,ENT NEET 2024,ENT,NEET PG,NEET PG,2024,13,13,3379,3402,3182,3384
151,Anesthesia AIIMS 2017,Anesthesia,AIIMS,AIIMS/INI-CET,2017,7,7,3403,3407,3402,3407
152,Anesthesia AIIMS 2018,Anesthesia,AIIMS,AIIMS/INI-CET,2018,4,4,3408,3410,3402,3412
153,Anesthesia AIIMS 2019 (May & Nov),Anesthesia,AIIMS,AIIMS/INI-CET,2019,7,7,3411,3416,3402,3415
154,Anesthesia AIIMS 2020 (May & Nov INI-CET),Anesthesia,AIIMS,AIIMS/INI-CET,2020,8,8,3417,3425,3402,3421
155,Anesthesia NEET 2018,Anesthesia,NEET PG,NEET PG,2018,7,7,3426,3431,3402,3430
156,Anesthesia NEET 2019,Anesthesia,NEET PG,NEET PG,2019,6,6,3432,3436,3402,3436
157,Anesthesia NEET 2020,Anesthesia,NEET PG,NEET PG,2020,4,4,3437,3440,3402,3441
158,Anesthesia INI-CET 2021,Anesthesia,INI-CET,AIIMS/INI-CET,2021,14,14,3441,3459,3402,3445
159,Anesthesia NEET 2021,Anesthesia,NEET PG,NEET PG,2021,5,5,3460,3468,3402,3464
160,Anesthesia INI-CET 2022,Anesthesia,INI-CET,AIIMS/INI-CET,2022,4,4,3469,3472,3402,3473
